Player0: NOK-AV
Player1: NOK-AV
--- units: 50
Units on each side: 150
Win average: 0.6505376344086021
Win average: 0.6524064171122995
Win average: 0.6542553191489362
Win average: 0.656084656084656
Win average: 0.6526315789473685
Win average: 0.6544502617801047
Win average: 0.65625
Win average: 0.6580310880829016
Win average: 0.6597938144329897
Win average: 0.6615384615384615
Win average: 0.6632653061224489
Win average: 0.6649746192893401
Win average: 0.6666666666666666
Win average: 0.6683417085427136
Win average: 0.67
Win average: 0.6716417910447762
Win average: 0.6732673267326733
Win average: 0.6748768472906403
Win average: 0.6764705882352942
Win average: 0.6780487804878049
Win average: 0.6747572815533981
Win average: 0.6763285024154589
Win average: 0.6730769230769231
Win average: 0.6698564593301436
Win average: 0.6714285714285714
Win average: 0.6682464454976303
Win average: 0.6698113207547169
Win average: 0.6666666666666666
Win average: 0.6635514018691588
Win average: 0.6604651162790698
Win average: 0.6574074074074074
Win average: 0.6543778801843319
Win average: 0.6559633027522935
Win average: 0.6575342465753424
Win average: 0.6545454545454545
Win average: 0.6561085972850679
Win average: 0.6531531531531531
Win average: 0.6547085201793722
Win average: 0.65625
Win average: 0.6577777777777778
Win average: 0.6548672566371682
Win average: 0.6563876651982379
Win average: 0.6578947368421053
Win average: 0.6593886462882096
Win average: 0.6608695652173913
Win average: 0.658008658008658
Win average: 0.6594827586206896
Win average: 0.6609442060085837
Win average: 0.6623931623931624
Win average: 0.6595744680851063
Win average: 0.6567796610169492
Win average: 0.6582278481012658
Win average: 0.6554621848739496
Win average: 0.6527196652719666
Win average: 0.6541666666666667
Win average: 0.6514522821576764
Win average: 0.6528925619834711
Win average: 0.654320987654321
Win average: 0.6516393442622951
Win average: 0.6489795918367347
Win average: 0.6504065040650406
Win average: 0.6477732793522267
Win average: 0.6491935483870968
Win average: 0.6506024096385542
Win average: 0.652
Win average: 0.649402390438247
Win average: 0.6507936507936508
Win average: 0.6482213438735178
Win average: 0.6496062992125984
Win average: 0.6509803921568628
Win average: 0.65234375
Win average: 0.6536964980544747
Win average: 0.6511627906976745
Win average: 0.6525096525096525
Win average: 0.6538461538461539
Win average: 0.6551724137931034
Win average: 0.6564885496183206
Win average: 0.6577946768060836
Win average: 0.6590909090909091
Win average: 0.6566037735849056
Win average: 0.6578947368421053
Win average: 0.6591760299625468
Win average: 0.6604477611940298
Win average: 0.6579925650557621
Win average: 0.6592592592592592
Win average: 0.6605166051660517
Win average: 0.6580882352941176
Win average: 0.6593406593406593
Win average: 0.6605839416058394
Win average: 0.6581818181818182
Win average: 0.6594202898550725
Win average: 0.6606498194945848
Win average: 0.658273381294964
Win average: 0.6594982078853047
Win average: 0.6607142857142857
Win average: 0.6619217081850534
Win average: 0.6631205673758865
Win average: 0.6643109540636042
Win average: 0.6654929577464789
Win average: 0.6666666666666666
Win average: 0.6678321678321678
Win average: 0.6655052264808362
Win average: 0.6666666666666666
